연도,노선명,사고건수,사망자수,부상자수,평균지연_분,노선_위험도
2019,경부고속도로,98,3,24,29.3,0.82
2019,서해안고속도로,115,3,30,16.6,0.74
2019,남해고속도로,81,5,25,11.1,0.68
2019,중부고속도로,78,0,22,-3.8,0.61
2019,영동고속도로,81,3,31,17.2,0.77
2019,호남고속도로,49,1,21,28.1,0.55
2019,중앙고속도로,63,2,15,22.8,0.63
2019,동해고속도로,85,0,26,18.3,0.49
2019,통영대전고속도로,56,2,23,26.1,0.58
2019,광주대구고속도로,58,3,15,20.2,0.52
2020,경부고속도로,89,1,28,26.7,0.82
2020,서해안고속도로,106,3,13,21.3,0.74
2020,남해고속도로,79,4,39,19.5,0.68
2020,중부고속도로,67,1,22,10.2,0.61
2020,영동고속도로,92,1,36,26.7,0.77
2020,호남고속도로,79,1,21,25.1,0.55
2020,중앙고속도로,49,0,11,1.7,0.63
2020,동해고속도로,52,1,37,8.8,0.49
2020,통영대전고속도로,57,2,21,27.3,0.58
2020,광주대구고속도로,72,1,21,7.7,0.52
2021,경부고속도로,103,2,33,22.8,0.82
2021,서해안고속도로,86,2,12,34.4,0.74
2021,남해고속도로,46,3,14,36.3,0.68
2021,중부고속도로,102,4,20,20.8,0.61
2021,영동고속도로,76,1,40,25.4,0.77
2021,호남고속도로,85,2,17,19.3,0.55
2021,중앙고속도로,68,1,18,38.6,0.63
2021,동해고속도로,45,1,13,31.2,0.49
2021,통영대전고속도로,40,3,23,21.0,0.58
2021,광주대구고속도로,47,0,16,16.8,0.52
2022,경부고속도로,76,1,28,31.6,0.82
2022,서해안고속도로,88,2,27,24.4,0.74
2022,남해고속도로,82,1,30,18.2,0.68
2022,중부고속도로,45,1,23,26.8,0.61
2022,영동고속도로,108,4,37,31.9,0.77
2022,호남고속도로,83,2,8,27.4,0.55
2022,중앙고속도로,55,3,27,22.5,0.63
2022,동해고속도로,53,1,7,15.5,0.49
2022,통영대전고속도로,50,0,27,19.7,0.58
2022,광주대구고속도로,70,2,13,20.2,0.52
2023,경부고속도로,82,0,35,49.0,0.82
2023,서해안고속도로,60,2,18,21.3,0.74
2023,남해고속도로,96,1,24,35.3,0.68
2023,중부고속도로,72,2,-1,16.0,0.61
2023,영동고속도로,119,3,32,27.4,0.77
2023,호남고속도로,64,0,28,24.8,0.55
2023,중앙고속도로,79,3,15,20.7,0.63
2023,동해고속도로,58,1,31,12.5,0.49
2023,통영대전고속도로,85,2,22,21.1,0.58
2023,광주대구고속도로,40,1,30,21.5,0.52
2024,경부고속도로,98,3,45,38.3,0.82
2024,서해안고속도로,107,3,27,26.4,0.74
2024,남해고속도로,111,2,22,39.8,0.68
2024,중부고속도로,83,2,23,30.1,0.61
2024,영동고속도로,84,1,31,11.0,0.77
2024,호남고속도로,61,3,11,34.5,0.55
2024,중앙고속도로,69,3,28,42.2,0.63
2024,동해고속도로,53,0,11,20.3,0.49
2024,통영대전고속도로,44,2,31,35.5,0.58
2024,광주대구고속도로,67,2,16,4.7,0.52
