공지일시,노선명,사고유형,주행방향,통제차로수,기상상태,지속시간_분,위험도_점수,위험_등급,위도,경도
2024-01-01 19:06:00,중앙고속도로,공사,상행,2,맑음,131,1.26,1,34.5224,129.47179
2024-01-02 13:17:00,호남고속도로,차량고장,상행,1,눈,169,1.1,1,35.1271,129.37376
2024-01-03 07:24:00,경부고속도로,교통사고,하행,2,흐림,92,1.968,2,34.64934,127.78105
2024-01-03 18:56:00,동해고속도로,교통사고,상행,1,흐림,152,0.588,1,37.89626,128.62769
2024-01-06 15:57:00,중부고속도로,교통사고,상행,1,맑음,51,0.61,1,38.46443,127.06169
2024-01-06 18:17:00,영동고속도로,낙하물,하행,0,맑음,45,0.0,0,36.55169,127.33038
2024-01-06 19:58:00,동해고속도로,교통사고,상행,1,맑음,84,0.49,0,36.79082,127.69332
2024-01-07 09:43:00,통영대전고속도로,공사,상행,1,흐림,40,0.696,1,35.82978,127.94633
2024-01-08 19:58:00,남해고속도로,공사,하행,1,맑음,167,0.68,1,34.74185,128.44367
2024-01-09 07:11:00,호남고속도로,교통사고,하행,0,맑음,42,0.0,0,35.3179,126.51719
2024-01-09 14:38:00,서해안고속도로,차량고장,상행,1,맑음,178,0.74,1,37.74552,127.32323
2024-01-11 08:28:00,서해안고속도로,공사,하행,1,맑음,168,0.74,1,35.04314,126.61525
2024-01-11 09:45:00,광주대구고속도로,공사,상행,0,흐림,62,0.0,0,37.72467,126.83273
2024-01-11 09:56:00,호남고속도로,교통사고,하행,1,비,129,0.825,1,35.88279,128.29291
2024-01-11 11:17:00,서해안고속도로,낙하물,하행,2,맑음,52,1.48,1,35.66556,129.267
2024-01-11 12:20:00,남해고속도로,교통사고,상행,1,흐림,134,0.816,1,34.98193,128.00541
2024-01-11 15:52:00,영동고속도로,교통사고,하행,1,맑음,51,0.77,1,37.06068,128.28974
2024-01-11 15:53:00,영동고속도로,낙하물,상행,1,맑음,96,0.77,1,37.65218,126.84052
2024-01-11 19:44:00,중앙고속도로,교통사고,상행,1,맑음,64,0.63,1,34.64685,129.40644
2024-01-11 23:39:00,통영대전고속도로,공사,하행,1,흐림,81,0.696,1,34.51149,127.34825
2024-01-12 15:04:00,동해고속도로,교통사고,상행,1,흐림,166,0.588,1,36.47939,128.6849
2024-01-13 15:12:00,서해안고속도로,공사,하행,0,비,66,0.0,0,36.35875,126.72698
2024-01-13 20:40:00,서해안고속도로,교통사고,상행,1,흐림,47,0.888,1,35.33073,127.53172
2024-01-14 08:19:00,호남고속도로,교통사고,상행,0,흐림,110,0.0,0,37.85668,128.03744
2024-01-14 11:34:00,중부고속도로,공사,하행,0,비,159,0.0,0,37.67005,126.8878
2024-01-15 07:31:00,광주대구고속도로,공사,하행,0,흐림,160,0.0,0,36.08307,128.93471
2024-01-15 12:55:00,서해안고속도로,교통사고,하행,1,비,114,1.11,1,37.50763,127.64882
2024-01-15 18:08:00,통영대전고속도로,교통사고,하행,1,맑음,166,0.58,1,35.23272,126.70355
2024-01-16 15:02:00,남해고속도로,교통사고,하행,2,흐림,137,1.632,2,35.40261,126.87166
2024-01-17 15:17:00,호남고속도로,교통사고,하행,1,안개,20,0.99,1,37.55286,129.49778
2024-01-18 08:26:00,남해고속도로,차량고장,하행,1,눈,31,1.36,1,35.89402,128.45039
2024-01-18 10:15:00,중앙고속도로,차량고장,상행,0,흐림,23,0.0,0,37.29725,127.39465
2024-01-18 14:50:00,동해고속도로,교통사고,상행,3,맑음,168,1.47,1,35.83802,127.04336
2024-01-18 16:41:00,중부고속도로,공사,하행,1,눈,23,1.22,1,34.82059,128.47786
2024-01-19 08:19:00,호남고속도로,공사,하행,2,비,167,1.65,2,35.86441,128.22917
2024-01-19 18:10:00,광주대구고속도로,교통사고,하행,2,흐림,105,1.248,1,34.95758,127.26431
2024-01-21 07:31:00,동해고속도로,낙하물,상행,2,맑음,56,0.98,1,36.84826,127.96476
2024-01-21 09:46:00,통영대전고속도로,공사,상행,3,맑음,116,1.74,2,35.89759,127.51244
2024-01-22 08:43:00,통영대전고속도로,기상악화,상행,2,맑음,40,1.16,1,37.20942,127.86339
2024-01-22 10:27:00,경부고속도로,기상악화,상행,0,맑음,97,0.0,0,38.07314,129.30935
2024-01-22 17:52:00,동해고속도로,공사,하행,0,맑음,10,0.0,0,37.92539,128.13554
2024-01-22 18:26:00,중부고속도로,교통사고,상행,0,흐림,68,0.0,0,37.13428,128.56982
2024-01-23 05:16:00,동해고속도로,공사,상행,3,흐림,119,1.764,2,36.34526,128.49603
2024-01-23 13:22:00,호남고속도로,차량고장,하행,0,흐림,48,0.0,0,38.06681,127.32375
2024-01-24 20:14:00,남해고속도로,공사,하행,2,맑음,125,1.36,1,38.01353,126.60021
2024-01-25 00:26:00,중부고속도로,공사,하행,1,비,78,0.915,1,36.68014,127.61281
2024-01-25 11:08:00,남해고속도로,교통사고,상행,0,맑음,159,0.0,0,34.63224,128.45654
2024-01-25 17:31:00,영동고속도로,공사,하행,0,눈,42,0.0,0,37.83296,129.43899
2024-01-25 18:44:00,중앙고속도로,교통사고,상행,0,흐림,131,0.0,0,36.52368,128.72945
2024-01-26 12:19:00,호남고속도로,차량고장,하행,1,흐림,90,0.66,1,37.53594,129.36795
2024-01-26 13:08:00,광주대구고속도로,교통사고,상행,0,맑음,112,0.0,0,35.75679,128.37791
2024-01-27 08:37:00,중부고속도로,차량고장,상행,0,맑음,83,0.0,0,38.30813,128.53734
2024-01-27 15:59:00,남해고속도로,교통사고,하행,0,비,22,0.0,0,36.30714,126.78464
2024-01-27 20:18:00,영동고속도로,교통사고,하행,2,비,65,2.31,2,37.02133,128.59489
2024-01-27 20:38:00,중부고속도로,교통사고,하행,3,맑음,149,1.83,2,35.58678,127.46392
2024-01-28 12:55:00,통영대전고속도로,기상악화,상행,1,맑음,178,0.58,1,36.01612,127.55539
