일시,지점명,기온_℃,강수량_mm,적설량_cm,시정_km,풍속_m/s,습도_%,기상상태
2024-01-01 06:00:00,강릉,-2.5,0.0,0.0,7.89,0.0,55.0,흐림
2024-01-01 19:00:00,대구,3.9,0.0,0.0,8.31,0.5,85.0,맑음
2024-01-02 03:00:00,대전,-2.9,0.0,0.0,14.54,6.4,51.0,맑음
2024-01-02 15:00:00,대구,-7.1,3.0,0.0,15.61,2.2,100.0,비
2024-01-03 06:00:00,광주,6.7,11.5,0.0,13.27,3.3,93.0,비
2024-01-03 11:00:00,부산,3.4,0.0,0.0,16.59,0.7,39.0,맑음
2024-01-04 18:00:00,서울,2.2,13.9,0.0,13.9,0.9,80.0,비
2024-01-06 06:00:00,대전,-0.7,0.0,0.0,9.3,2.9,91.0,맑음
2024-01-08 12:00:00,광주,10.3,0.0,0.0,18.4,3.3,36.0,맑음
2024-01-10 03:00:00,서울,2.9,0.0,0.0,14.3,6.6,32.0,맑음
2024-01-10 12:00:00,청주,5.0,0.0,0.0,12.86,2.0,74.0,맑음
2024-01-11 08:00:00,수원,5.6,0.0,0.0,5.55,1.7,97.0,흐림
2024-01-11 12:00:00,부산,4.1,0.5,0.0,7.8,0.2,41.0,비
2024-01-11 14:00:00,서울,0.2,5.8,0.0,17.84,0.4,71.0,비
2024-01-13 07:00:00,청주,-1.3,0.0,0.0,19.47,1.5,89.0,맑음
2024-01-14 11:00:00,부산,5.3,0.0,0.0,8.06,5.0,44.0,흐림
2024-01-16 18:00:00,서울,3.3,0.0,0.0,13.83,1.6,67.0,흐림
2024-01-16 19:00:00,대구,-9.1,0.0,0.0,9.59,8.4,59.0,맑음
2024-01-16 20:00:00,청주,0.4,0.0,0.0,16.71,1.1,56.0,흐림
2024-01-16 20:00:00,대구,2.3,0.0,0.0,7.78,2.2,84.0,맑음
2024-01-17 01:00:00,서울,-1.6,0.0,0.0,17.33,3.4,95.0,맑음
2024-01-17 06:00:00,강릉,-3.4,0.0,0.0,5.19,1.3,60.0,맑음
2024-01-17 07:00:00,대전,-4.8,9.8,0.0,10.76,4.4,54.0,비
2024-01-17 19:00:00,부산,3.2,0.0,0.0,6.87,0.5,70.0,흐림
2024-01-18 23:00:00,광주,-1.6,0.0,0.0,9.74,1.4,49.0,맑음
2024-01-19 04:00:00,부산,5.1,0.0,0.0,10.24,3.4,76.0,흐림
2024-01-19 20:00:00,광주,6.4,0.0,0.0,16.0,9.5,94.0,맑음
2024-01-20 18:00:00,강릉,2.4,0.0,5.1,6.96,4.4,60.0,눈
2024-01-21 05:00:00,청주,0.1,6.5,0.8,7.35,0.4,40.0,눈
2024-01-21 08:00:00,대구,-1.6,0.0,0.0,10.73,7.1,67.0,맑음
2024-01-21 15:00:00,서울,-5.5,0.0,0.0,13.1,2.4,51.0,흐림
2024-01-25 06:00:00,서울,7.4,0.0,0.0,14.1,5.6,69.0,흐림
2024-01-26 03:00:00,광주,5.1,0.0,0.0,18.45,0.5,97.0,흐림
2024-01-27 04:00:00,수원,3.5,0.0,0.0,5.76,1.2,33.0,흐림
2024-01-27 17:00:00,광주,9.8,0.0,0.0,12.41,10.7,39.0,맑음
2024-01-28 09:00:00,수원,-6.5,0.0,0.0,11.56,2.1,38.0,맑음
2024-01-28 18:00:00,대구,2.7,0.0,0.0,18.95,2.5,79.0,맑음
2024-02-01 01:00:00,대전,-2.9,5.0,0.0,9.84,3.4,80.0,비
2024-02-02 06:00:00,수원,-2.7,0.0,0.0,15.41,2.7,77.0,흐림
2024-02-02 14:00:00,광주,13.4,0.0,0.0,5.74,7.9,78.0,맑음
2024-02-03 00:00:00,대구,10.1,0.0,0.0,11.07,1.4,82.0,흐림
2024-02-03 08:00:00,대전,-5.9,3.3,0.0,9.8,0.6,65.0,비
2024-02-03 11:00:00,서울,3.1,0.0,0.0,16.27,0.0,80.0,맑음
2024-02-05 12:00:00,청주,2.5,0.0,0.0,18.52,0.1,32.0,맑음
2024-02-06 14:00:00,수원,3.7,0.0,0.0,12.62,2.3,59.0,맑음
2024-02-07 09:00:00,부산,10.7,0.0,0.0,0.55,3.1,87.0,안개
2024-02-07 20:00:00,청주,-0.8,1.1,0.0,17.29,2.2,90.0,비
2024-02-10 01:00:00,부산,12.7,0.0,0.0,9.55,2.0,69.0,맑음
2024-02-11 08:00:00,부산,6.1,2.8,0.0,12.46,2.2,67.0,비
2024-02-12 12:00:00,서울,6.9,0.0,0.0,8.78,3.5,55.0,맑음
2024-02-13 08:00:00,수원,6.3,0.0,0.0,18.2,6.2,84.0,맑음
2024-02-13 13:00:00,수원,4.0,0.0,0.0,18.12,2.3,97.0,맑음
2024-02-15 09:00:00,서울,6.6,0.0,0.0,16.17,1.2,69.0,흐림
2024-02-15 15:00:00,강릉,8.8,0.0,0.0,15.34,2.0,88.0,흐림
2024-02-16 13:00:00,광주,-1.9,5.4,0.0,17.45,0.1,94.0,비
2024-02-17 09:00:00,대전,9.2,0.0,0.0,15.39,6.1,67.0,흐림
2024-02-17 12:00:00,대구,-6.5,0.0,0.0,9.69,2.5,95.0,흐림
2024-02-17 23:00:00,청주,5.8,0.0,0.0,0.21,1.8,58.0,안개
2024-02-18 08:00:00,대전,4.5,0.0,0.0,19.75,2.0,63.0,맑음
2024-02-19 10:00:00,수원,-3.8,0.0,0.0,10.77,6.0,45.0,흐림
2024-02-19 17:00:00,광주,0.7,0.0,0.0,15.35,1.7,48.0,맑음
2024-02-20 14:00:00,광주,-0.1,0.0,0.0,17.47,0.9,86.0,맑음
2024-02-21 12:00:00,대전,2.8,0.0,0.2,0.77,0.3,99.0,눈
2024-02-22 07:00:00,광주,1.9,0.0,0.0,9.14,1.1,70.0,흐림
2024-02-22 15:00:00,부산,8.0,0.4,1.0,16.37,1.9,86.0,눈
2024-02-22 18:00:00,부산,6.2,0.0,0.0,6.81,3.2,34.0,맑음
2024-02-22 21:00:00,부산,8.7,0.0,0.0,15.93,0.6,57.0,흐림
2024-02-24 02:00:00,서울,1.2,0.0,0.0,13.27,4.7,73.0,흐림
2024-02-25 14:00:00,대구,1.8,0.0,0.0,12.91,0.8,84.0,맑음
2024-02-26 05:00:00,광주,4.0,0.0,0.0,12.39,1.8,51.0,흐림
2024-02-27 23:00:00,대구,-0.1,0.0,0.0,10.87,2.5,39.0,맑음
2024-02-28 01:00:00,수원,5.6,0.0,0.0,19.84,3.9,58.0,맑음
